Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
England,E92000001,Country,17/04/2020,148,87022
East of England,E12000006,Region,17/04/2020,0,7203
London,E12000007,Region,17/04/2020,0,20904
North East,E12000001,Region,17/04/2020,0,5115
West Midlands,E12000005,Region,17/04/2020,16,9045
North West,E12000002,Region,17/04/2020,8,13237
East Midlands,E12000004,Region,17/04/2020,5,4918
South West,E12000009,Region,17/04/2020,7,4448
Yorkshire and The Humber,E12000003,Region,17/04/2020,77,6624
South East,E12000008,Region,17/04/2020,26,11885
Barking and Dagenham,E09000002,Upper tier local authority,17/04/2020,0,383
Barnet,E09000003,Upper tier local authority,17/04/2020,0,1055
Barnsley,E08000016,Upper tier local authority,17/04/2020,3,444
Bath and North East Somerset,E06000022,Upper tier local authority,17/04/2020,0,161
Bedford,E06000055,Upper tier local authority,17/04/2020,0,282
Bexley,E09000004,Upper tier local authority,17/04/2020,0,491
Birmingham,E08000025,Upper tier local authority,17/04/2020,0,2133
Blackburn with Darwen,E06000008,Upper tier local authority,17/04/2020,0,213
Blackpool,E06000009,Upper tier local authority,17/04/2020,0,209
Bolton,E08000001,Upper tier local authority,17/04/2020,0,512
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,17/04/2020,0,295
Bracknell Forest,E06000036,Upper tier local authority,17/04/2020,0,145
Bradford,E08000032,Upper tier local authority,17/04/2020,11,546
Brent,E09000005,Upper tier local authority,17/04/2020,0,1160
Brighton and Hove,E06000043,Upper tier local authority,17/04/2020,1,279
"Bristol, City of",E06000023,Upper tier local authority,17/04/2020,0,438
Bromley,E09000006,Upper tier local authority,17/04/2020,0,874
Buckinghamshire,E10000002,Upper tier local authority,17/04/2020,0,577
Bury,E08000002,Upper tier local authority,17/04/2020,0,295
Calderdale,E08000033,Upper tier local authority,17/04/2020,4,183
Cambridgeshire,E10000003,Upper tier local authority,17/04/2020,0,463
Camden,E09000007,Upper tier local authority,17/04/2020,0,489
Central Bedfordshire,E06000056,Upper tier local authority,17/04/2020,0,352
Cheshire East,E06000049,Upper tier local authority,17/04/2020,5,571
Cheshire West and Chester,E06000050,Upper tier local authority,17/04/2020,0,525
City of London,E09000001,Upper tier local authority,17/04/2020,0,13
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,17/04/2020,0,368
County Durham,E06000047,Upper tier local authority,17/04/2020,0,857
Coventry,E08000026,Upper tier local authority,17/04/2020,0,487
Croydon,E09000008,Upper tier local authority,17/04/2020,0,1140
Cumbria,E10000006,Upper tier local authority,17/04/2020,0,1429
Darlington,E06000005,Upper tier local authority,17/04/2020,0,169
Derby,E06000015,Upper tier local authority,17/04/2020,0,390
Derbyshire,E10000007,Upper tier local authority,17/04/2020,1,871
Devon,E10000008,Upper tier local authority,17/04/2020,1,482
Doncaster,E08000017,Upper tier local authority,17/04/2020,5,263
Dorset,E06000059,Upper tier local authority,17/04/2020,0,231
